service_id,vehicle_id,service_date,service_type,service_cost,updated_at
S001,V001,2026-08-20,Oil Change,450,2026-08-20 09:00:00
S002,V001,2026-08-21,BRAKE SERVICE,1800,2026-08-21 10:00:00
S003,V002,2026-08-21,General Service,1200,2026-08-21 11:00:00
S004,V003,2026-08-22,oil change,500,2026-08-22 12:00:00
S005,V003,2026-08-23,Tyre Service,3200,2026-08-23 13:00:00
S006,V002,2026-08-23,General Service,1200,2026-08-23 14:00:00
S006,V002,2026-08-23,General Service,1200,2026-08-23 14:05:00
S007,V004,2026-08-24,AC Service,2500,2026-08-24 09:15:00
S008,V005,2026-08-24,Oil Change,480,2026-08-24 09:20:00
S009,V005,2026-08-24,Wheel Alignment,900,2026-08-24 09:25:00
